2020-12-05 13:16:39.040 [main] INFO  com.aiolos.news.AdminApplication - The following profiles are active: dev
2020-12-05 13:53:51.783 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-12-05 13:53:52.046 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-05 13:53:52.576 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-12-05 13:53:52.577 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-12-05 13:53:52.578 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-12-05 13:53:52.579 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-12-05 13:53:52.649 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-12-05 13:53:52.663 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-12-05 13:53:52.702 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-12-05 13:53:52.888 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8005"]
2020-12-05 13:53:52.920 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8005 (http) with context path '/news/admin'
2020-12-05 13:53:52.925 [main] INFO  com.aiolos.news.AdminApplication - Started AdminApplication in 52.12 seconds (JVM running for 57.809)
2020-12-05 13:55:16.802 [http-nio-8005-exec-1] INFO  o.a.c.c.C.[.[.[/news/admin] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-05 13:55:16.803 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-05 13:55:16.812 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2020-12-05 13:55:16.850 [http-nio-8005-exec-2] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:55:16.855 [http-nio-8005-exec-2] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:55:16.972 [http-nio-8005-exec-2] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:27}] to 127.0.0.1:27017
2020-12-05 13:55:17.001 [http-nio-8005-exec-2] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：146
2020-12-05 13:55:26.340 [http-nio-8005-exec-4] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:55:26.341 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:55:26.342 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:55:42.831 [http-nio-8005-exec-6] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:55:42.832 [http-nio-8005-exec-6] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:55:42.833 [http-nio-8005-exec-6] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:55:46.608 [http-nio-8005-exec-7] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:55:46.608 [http-nio-8005-exec-7] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:55:46.609 [http-nio-8005-exec-7] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:58:08.144 [http-nio-8005-exec-1] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:58:08.145 [http-nio-8005-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:58:08.146 [http-nio-8005-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:58:13.336 [http-nio-8005-exec-3] INFO  c.a.n.c.FriendLinkController - Enter function saveOrUpdateFriendLink, parameter saveFriendLinkBO: SaveFriendLinkBO(id=, linkName=慕课网, linkUrl=http://www.imooc.com, isDelete=0)
2020-12-05 13:58:16.570 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ============
2020-12-05 13:58:16.611 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：41
2020-12-05 13:58:16.628 [http-nio-8005-exec-5] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:58:16.628 [http-nio-8005-exec-5] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:58:16.640 [http-nio-8005-exec-5] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：12
2020-12-05 13:58:37.912 [http-nio-8005-exec-7] INFO  c.a.n.c.FriendLinkController - Enter function saveOrUpdateFriendLink, parameter saveFriendLinkBO: SaveFriendLinkBO(id=, linkName=I love you, linkUrl=https://www.aiolosxhx.com, isDelete=0)
2020-12-05 13:58:37.913 [http-nio-8005-exec-7] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ============
2020-12-05 13:58:37.915 [http-nio-8005-exec-7] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：2
2020-12-05 13:58:37.929 [http-nio-8005-exec-9] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:58:37.929 [http-nio-8005-exec-9] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:58:37.930 [http-nio-8005-exec-9] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:59:10.180 [http-nio-8005-exec-1] INFO  c.a.n.c.FriendLinkController - Enter function saveOrUpdateFriendLink, parameter saveFriendLinkBO: SaveFriendLinkBO(id=, linkName=慕课网, linkUrl=http://www.imooc.com, isDelete=1)
2020-12-05 13:59:10.181 [http-nio-8005-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ============
2020-12-05 13:59:10.183 [http-nio-8005-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：2
2020-12-05 13:59:10.195 [http-nio-8005-exec-3] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:59:10.196 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:59:10.197 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:59:36.999 [http-nio-8005-exec-5] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:59:37.000 [http-nio-8005-exec-5] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:59:37.001 [http-nio-8005-exec-5] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:59:41.112 [http-nio-8005-exec-7] INFO  c.a.n.c.FriendLinkController - Enter function saveOrUpdateFriendLink, parameter saveFriendLinkBO: SaveFriendLinkBO(id=5fcb2178e6005f21da74ccc1, linkName=慕课网, linkUrl=http://www.imooc.com, isDelete=1)
2020-12-05 13:59:41.113 [http-nio-8005-exec-7] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ============
2020-12-05 13:59:41.127 [http-nio-8005-exec-7] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：14
2020-12-05 13:59:41.137 [http-nio-8005-exec-8] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:59:41.137 [http-nio-8005-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:59:41.138 [http-nio-8005-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:59:46.214 [http-nio-8005-exec-10] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:59:46.214 [http-nio-8005-exec-10] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:59:46.215 [http-nio-8005-exec-10] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:59:48.763 [http-nio-8005-exec-2] INFO  c.a.n.c.FriendLinkController - Enter function saveOrUpdateFriendLink, parameter saveFriendLinkBO: SaveFriendLinkBO(id=5fcb2178e6005f21da74ccc1, linkName=慕课网, linkUrl=http://www.imooc.com, isDelete=0)
2020-12-05 13:59:48.764 [http-nio-8005-exec-2] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ============
2020-12-05 13:59:48.766 [http-nio-8005-exec-2] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：2
2020-12-05 13:59:48.778 [http-nio-8005-exec-3] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:59:48.779 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:59:48.781 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：2
2020-12-05 13:59:52.538 [http-nio-8005-exec-4] INFO  c.a.n.c.FriendLinkController - Enter function saveOrUpdateFriendLink, parameter saveFriendLinkBO: SaveFriendLinkBO(id=5fcb2178e6005f21da74ccc1, linkName=慕课网, linkUrl=http://www.imooc.com, isDelete=1)
2020-12-05 13:59:52.539 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ============
2020-12-05 13:59:52.543 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：4
2020-12-05 13:59:52.556 [http-nio-8005-exec-6] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:59:52.556 [http-nio-8005-exec-6] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:59:52.557 [http-nio-8005-exec-6] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:59:55.522 [http-nio-8005-exec-8] INFO  c.a.n.c.FriendLinkController - Enter function saveOrUpdateFriendLink, parameter saveFriendLinkBO: SaveFriendLinkBO(id=5fcb2178e6005f21da74ccc1, linkName=慕课网, linkUrl=http://www.imooc.com, isDelete=0)
2020-12-05 13:59:55.522 [http-nio-8005-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.saveOrUpdateFriendLink ============
2020-12-05 13:59:55.524 [http-nio-8005-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 13:59:55.533 [http-nio-8005-exec-9] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 13:59:55.533 [http-nio-8005-exec-9] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 13:59:55.534 [http-nio-8005-exec-9] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
2020-12-05 14:02:42.565 [http-nio-8005-exec-3] INFO  c.a.n.c.FriendLinkController - Enter function getFriendLinkList
2020-12-05 14:02:42.565 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryAllFriendLinks ============
2020-12-05 14:02:42.567 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：1
